1. クラウドワークスのタスクは割のいい作業だと思いますか。,,2. クラウドワークス様にタスクに関して何か言いたいことがあればどうぞ,3. クラウドワークスのタスクを投げるクライアント達に何か言いたいことがあればどうぞ
2,2,,
3,3,アンケート形式を多くしてもらいたい,文字数が多いので断念してしまうことがあるので文字数の削減をしていただきたいです。
3,3,もう少し手数料を下げて欲しい。,
2,2,,
4,4,,
2,2,在宅で効率よくお小遣い稼ぎさせていただく場を、ありがとうございます。,是非是非、これからもたくさんタスクを投げてくださいね。どんどん参加したいと思っています。
2,2,,
3,3,,
3,3,,
2,2,簡単に作業ができるところは利点と思うが、単価が安い。,
4,4,,
2,2,"ライティング案件のタスク仕事で作業制限時間が最大50分なのは短すぎる。
中には下調べや資料収集が必要なものもあり、50分では到底終わらないものもある。",1000文字以上書かせて10円、20円というライティング案件を見かけるが、いくらなんでも酷すぎると思う。
3,3,,
1,1,文字数によってある程度の単価の縛りをつくって欲しい。1000文字で20円台とかありえない。,
2,2,,
2,2,データー収集タスクの単価を上げて欲しい。,
2,2,,かなり安い単価なのに、たくさんの字数を書かせるのは割に合わない
3,3,,もう少し報酬を高くして欲しいです。
1,1,,
4,4,まあまあやりやすい仕事なのでありがたいです,徳にはないです
5,5,助かります。開発した方々には、感謝しています。副業として時間や場所を選ばないのは、助かります。,ありがたいです。少しの時間でも出来るのでありがたいです。
2,2,出金手数料を下げて欲しい。,目的を具体的に書いて欲しい。
4,4,これくらい作業を行ったら、報酬はこれくらいという基準がまちまち過ぎる気がします。,あまり作文作業に委ねられていると、本当に聞きたい事とズレ過ぎる事が多いと思います。選択式をもっと増やして良いと思います。
4,4,,
2,2,,
5,5,,
3,3,"求められる文字数に対して報酬が低いことがあると思います。
アンケート方式でも、必要な文字数に応じて報酬額を決めて欲しいと思います。","求められるテーマがよく汲み取れないことがあります。
例えば「CD、DVDについて書いてください」などといつたテーマです。
もう少し掘り下げてテーマを与えていただきたいです。"
3,3,特にありません。,特にありません。
5,5,,
2,2,,
1,1,,どのように作業すればいいのかをもっと詳しく説明してもらいたいです。回答例などが書いてあれば理想です。「作業内容が分かりづらい」というだけで、非承認になるのを恐れてその仕事に手を出さないという人は多いと思います。
3,3,特になし。,特になし。
4,4,,
3,3,参加したばかりでまだわかりません。,特にないです。
3,3,手数料が高すぎる上に報酬を引き出す期限があるのがとても不満です。,単価が低い割りに労力が必要な案件を出さないで欲しいです。クライアントとワーカーはウィンウィンの関係であって欲しいと思います。
2,2,単価がかなり安すぎます。,
3,3,,
2,2,,
2,2,もっと多種多様な依頼が、多くあれば嬉しいと感じます。,その作業が、だいたい何分かかる作業かを考えて単価を決めてほしい。せめて時給に換算したときに600円くらいにはなると嬉しいです。つまり30秒5円で単価を決めて欲しいです。
2,2,誰でも答えられる気軽なタスクを増やして欲しい。,気軽に答えられるタスクを増やして欲しいです。
5,5,楽しいです。,もう少し値上げして欲しい。
2,2,手数料が高い。,
1,1,,
4,4,,
4,4,,ありがとうございます。
3,3,単純アンケートを多く,作業をわかりやすく
1,1,単価が安い,ない
1,1,2割と手数料が取られるのは高いと思います。、,"もう少し報酬を上げて欲しいです。
2000文字で32円などの報酬を見かけますが、びっくりするほど安く感じます。"
1,1,,
2,2,値段が安い,ありません
